,id,ventas,,
218,430505,4289.5896,0%,
219,654762,4256.9088,0%,
220,861444,4242.0678,0%,
221,452211,4223.6568,0%,
222,373335,4213.9974,0%,
223,276554,4201.3494,0%,
224,684378,4189.9866,0%,
225,574710,4186.59,0%,
226,666818,4152.0018,0%,
227,892961,4148.0748,0%,
228,841766,4126.4304,0%,
229,902814,4113.6192,0%,
230,323944,4064.0778,0%,
231,656534,4060.7016,0%,
232,471531,4057.764,0%,
233,847911,4048.2372,0%,
234,920051,4045.555,0%,
235,373674,4044.5652,0%,
236,902199,4040.1078,0%,
237,739895,4029.5202,0%,
238,751729,4021.044,0%,
239,293983,4018.1166,0%,
240,731715,3999.1344,0%,
241,938761,3996.115,0%,
242,517896,3991.9434,0%,
243,494740,3973.41,0%,
244,376832,3972.2574,0%,
245,297045,3930.5292,0%,
246,851566,3925.0824,0%,
247,779443,3922.665,0%,
248,752155,3912.6792,0%,
249,910924,3901.225,0%,
250,865876,3899.9904,0%,
251,872272,3897.8688,0%,
252,501863,3888.5256,0%,
253,299690,3855.0288,0%,
254,339439,3853.8048,0%,
255,805602,3852.8868,0%,
256,498346,3849.6534,0%,
257,814859,3844.4106,0%,
258,543109,3844.278,0%,
259,257231,3840.2388,0%,
260,537418,3836.8014,0%,
261,814449,3828.0396,0%,
262,476797,3825.5304,0%,
263,472611,3822.5316,0%,
264,702310,3821.1648,0%,
265,983070,3820.308,0%,
266,665062,3817.4928,0%,
267,320435,3812.505,0%,
268,411503,3806.5278,0%,
269,416696,3796.9602,0%,
270,686148,3788.6472,0%,
271,338813,3784.8834,0%,
272,347756,3776.7336,0%,
273,301976,3773.8776,0%,
274,779008,3769.4406,0%,
275,343468,3737.9634,0%,
